4c_2025  (77p)
  2. p.165  [ ] '27 provisions for pensions defined benefit pension plans sweden the group’s reti'
swedbank_2025  (340p)
  1. p.290  [ ] '288 2.2 liquidity risk in the summary of maturities, undiscounted contractual ca'
  2. p.291  [ ] '289 2.2.2 interest-bearing securities debt securities in issue turnover during t'
  3. p.307  [ ] '305 p33 deposits and borrowings from the public 1/1/2024 swedish public 870 907 '
  4. p.257  [x] 'value creation business areas financial analysis corporate governance report sus'
systemair_2025  (154p)
  1. p.79   [ ] '79 note 22 (cont.) maturity structure maturity structure for future agreed inter'
  2. p.80   [ ] '80 note 22 (cont.) assets measured at \xadamortised cost measured at fair value via'
  3. p.69   [x] '69 note 8 (cont.) group contractual future lease fees, maturing leases within a '
tele2_2025  (178p)
  1. p.136  [x] 'as of 31 december 2025, the notional amount of outstanding interest rate derivat'
  2. p.137  [ ] 'basis or under recurring arrangements when commercially advantageous. the group '
  3. p.148  [x] 'note 24: financial liabilities liabilities to financial institutions and similar'
telia_2025  (272p)
  1. p.179  [x] 'borrowings and net debt dec 31, 2025 dec 31, 2024 maturity coupon nominal amount'
  2. p.180  [ ] 'normally, borrowings by telia company denomi\xad nated in foreign currencies are sw'
  3. p.178  [ ] 'c21. non-current and current borrowings borrowings non-current and current borro'
  4. p.200  [ ] 'interest rate risk management the interest-bearing borrowings and financial inve'
  5. p.196  [ ] 'liquidity risk management liquidity risk is the risk that telia company will enc'
thule_2025  (188p)
  1. p.174  [ ] '/notes 22–25/ 174 the contract, while in other contracts the group must actively'
  2. p.175  [ ] '/note 26/ 175 note 26 cash flow statement group parent company interest paid net'
  3. p.159  [ ] '159 /note 4/ transaction exposure the largest exposure comes from the group’s sa'
traton_2025  (433p)
  1. p.213  [ ] '213 the maturity profile of payments attributable to the defined benefit obligat'
  2. p.214  [ ] '214 plan assets are invested in the following asset classes: 12/31/2025 12/31/20'
  3. p.217  [ ] '217 the suppler finance arrangements do not result in any material liquidity ris'
  4. p.184  [x] '184 right-of-use assets from leases reported in property, plant, and equipment c'
  5. p.62   [ ] '62 net liquidity/net financial debt net liquidity/net financial debt of the trat'
trelleborg_2025  (170p)
  1. p.142  [x] 'the table below shows the currency distribution, average interest rates and fixe'
  2. p.143  [ ] 'change in liabilities from financing activities, group non-cash changes cash cha'
  3. p.139  [ ] 'non-interest-bearing liabilities accounting policies accounts payable are initia'
  4. p.46   [ ] 'liquidity risks commercial failures product liability risks geo political risk i'
truecaller_2025  (127p)
  1. p.107  [ ] '107 note 13 leases truecaller’s significant leases refer to leases of rental pre'
  2. p.108  [ ] '108 note 15 financial instruments, continued measurement of financial assets and'
  3. p.113  [ ] '113 note 21 financial risks, continued reconciliation of the hedging reserve and'
verisure_2025  (276p)
  1. p.133  [ ] 'refer to note 11 leases for more information regarding leasing. borrowings, curr'
  2. p.134  [ ] 'non-cash changes 2024 carrying amount 1 january cash flows change in adjustment '
  3. p.130  [ ] 'payments for fixed-debt payments. excluding derivatives, approximately 45% of th'
  4. p.129  [ ] 'liquidity report the below liquidity report consists of undiscounted future cash'
vitec_software_2025  (194p)
  1. p.162  [ ] '162 note 17 cash flow change in liabilities for financing activities non-current'
  2. p.163  [ ] '163 accounting policies the acquisition of a subsidiary is viewed as a transacti'
  3. p.179  [x] '179 note 8 financial risks and capital risk management investments in subsidiari'
vitrolife_2025  (214p)
  1. p.163  [ ] 'financial policy the vitrolife group is exposed to a number of financial risks i'
  2. p.164  [ ] 'which inflows exceed outflows. a change in the sek exchange rate against these c'
  3. p.187  [ ] 'accounting policies the calculation of earnings per share is based on consolidat'
  4. p.157  [ ] 'group parent company sek million note 31 dec 2025 31 dec 2024 31 dec 2025 31 dec'
volvo_2025  (232p)
  1. p.129  [ ] '29:2 changes in loans cash flows non-cash items dec 31, new borrowings repayment'
  2. p.130  [ ] '30 financial instruments financial assets and liabilities are recognized on the '
  3. p.82   [ ] 'liquidity risks liquidity risk is defined as the risk that the volvo group would'
volvo_car_2025  (227p)
  1. p.102  [ ] 'liquidity risk management volvo car group financial policy framework liquidity r'
  2. p.103  [ ] 'investments in interest-bearing securities are measured at fair value through th'
wihlborgs_fastigheter_2025  (176p)
  1. p.101  [ ] 'notes most of the interest-bearing liabilities, amounting to sek 33,250 million '
  2. p.102  [ ] '102 notes future liquidity flows attributable to credits are described below. th'
xano_industri_2025  (164p)
  1. p.84   [x] 'finansiella skulder förfallotid per 2025-12-31 –30 dgr 31–90 dgr 91–360 dgr summ'
  2. p.85   [ ] 'not 20 likvida medel säkringsreserv 2025 2024 likvida medel består av kassa och '
  3. p.87   [ ] 'not 29 leverantörsskulder och andra skulder 2025 2024 nyttjanderättstillgångar l'
yubico_2025  (95p)
  1. p.84   [x] 'note 17 financial risks, financial policy, and financial instruments, cont. liqu'
  2. p.85   [ ] 'note 17 financial risks, financial policy, and financial instruments, cont. cred'
  3. p.66   [ ] 'consolidated cash flow statement sekm note operating activities 19 profit/loss b'
  4. p.82   [ ] 'note 15 \x07prepaid expenses and accrued income prepaid rents 2.6 1.9 2.2 1.7 prepa'

112 companies, section debt_maturity: 41/112 top-1 and 74/560 shown pages look like a debt-maturity note (heuristic flag, not a score; debt-shaped words, so not meaningful for other sections)
